#beam run file  event                time              chan[0 11] 
0   38   45      4758 2017 09 29 03 05 07 0 1 1 0 0 0 1 1 1 1 0 0
0   38   45      9621 2017 09 29 03 11 25 0 0 1 0 0 1 0 0 1 1 1 1
1   38   31       745 2017 09 28 23 58 55 0 0 1 0 0 0 1 0 0 0 0 1
1   38   31      8793 2017 09 29 00 08 56 0 1 0 1 0 1 0 1 1 1 1 1
1   38   31      9005 2017 09 29 00 09 12 0 1 0 0 0 0 1 1 0 0 0 1
1   38    5       492 2017 09 28 18 23 45 0 0 1 0 1 0 0 1 0 0 0 1
1   38    5      7441 2017 09 28 18 32 40 0 1 1 0 0 1 1 1 0 0 0 1
1   38  115       893 2017 09 29 18 00 18 0 1 0 0 0 1 0 0 0 0 0 1
1   38  115      9055 2017 09 29 18 10 40 0 0 1 0 1 0 0 1 0 1 0 0
1   38   87       718 2017 09 29 12 00 40 0 1 1 1 0 0 0 1 0 0 0 1
1   38  100       579 2017 09 29 14 48 01 0 1 1 0 1 1 0 0 0 0 0 1
1   38  100      9691 2017 09 29 14 59 41 0 0 1 0 1 0 0 1 0 0 0 1
0   38   46      7447 2017 09 29 03 21 34 0 0 1 0 0 1 1 1 1 1 1 1
1   38   19      2273 2017 09 28 21 26 50 0 1 1 1 0 1 1 1 0 0 0 1
1   38   19      2674 2017 09 28 21 27 23 0 0 1 0 0 1 1 0 1 1 1 0
1   38   19      2736 2017 09 28 21 27 27 0 1 1 1 0 1 0 0 0 1 0 0
1   38   19      4216 2017 09 28 21 29 21 0 1 0 0 1 1 1 1 1 1 0 1
1   38   32      2028 2017 09 29 00 13 14 0 1 0 0 0 0 1 0 0 0 1 1
1   38   32      7560 2017 09 29 00 20 28 0 1 1 0 0 1 0 1 0 0 1 0
1   38   32      9279 2017 09 29 00 22 40 0 1 1 1 1 1 0 1 0 0 0 1
1   38   60      5018 2017 09 29 06 18 14 0 0 0 1 0 1 1 1 0 0 0 1
1   38   61       891 2017 09 29 06 25 57 0 1 0 0 0 0 1 0 0 0 0 1
1   38   61      4727 2017 09 29 06 30 52 0 0 1 1 0 1 0 1 1 1 1 1
1   38   61      5801 2017 09 29 06 32 13 0 0 0 1 0 0 0 1 0 0 1 1
1   38   61      7169 2017 09 29 06 33 58 0 1 0 0 1 1 1 1 1 1 1 1
1   38   61      7210 2017 09 29 06 34 01 0 1 0 0 1 1 1 1 1 1 0 0
1   38   61      7695 2017 09 29 06 34 39 0 0 0 1 0 0 1 1 0 0 0 1
1   38   33      1847 2017 09 29 00 26 05 0 0 1 1 0 0 0 1 0 0 0 1
1   38   33      8874 2017 09 29 00 35 03 0 0 1 0 1 0 1 0 0 1 1 1
1   38    1      2841 2017 09 28 17 35 42 0 1 0 0 1 1 0 0 0 0 0 1
0   38   47      2263 2017 09 29 03 27 50 0 1 0 1 0 0 1 1 1 0 1 0
0   38   47      5492 2017 09 29 03 31 59 0 1 1 0 1 0 0 0 0 0 0 1
0   38   47      6700 2017 09 29 03 33 28 0 1 0 1 0 0 1 0 0 1 0 0
0   38   47      7261 2017 09 29 03 34 11 0 0 1 0 1 0 1 1 0 0 0 1
1   38  101      3360 2017 09 29 15 04 23 0 1 1 1 1 1 1 1 0 0 1 0
1   38  101      5350 2017 09 29 15 06 57 0 1 1 0 1 1 1 1 0 0 1 1
1   38  101      9481 2017 09 29 15 12 10 0 1 0 0 1 0 0 0 0 0 0 1
1   38  116      5355 2017 09 29 18 18 47 0 0 1 1 0 0 1 1 1 0 0 1
1   38   88       238 2017 09 29 12 12 53 0 0 1 1 0 0 0 1 0 0 0 1
1   38   88      1720 2017 09 29 12 14 48 0 0 1 0 0 0 1 0 1 0 0 0
1   38   74      2607 2017 09 29 09 14 51 0 1 1 0 0 1 0 1 0 0 1 0
1   38   74      6342 2017 09 29 09 19 39 0 1 0 0 0 0 0 1 0 1 0 0
